Systematic Name,Standard Name,complex,term_link,gene_link
YGL240W,DOC1,anaphase-promoting complex,<a href='https://www.yeastgenome.org/go/GO:0005680' target='_blank'>anaphase-promoting complex</a>,<a href='https://www.yeastgenome.org/locus/YGL240W/go' target='_blank'>YGL240W</a>
YGL240W,DOC1,ubiquitin ligase complex,<a href='https://www.yeastgenome.org/go/GO:0000151' target='_blank'>ubiquitin ligase complex</a>,<a href='https://www.yeastgenome.org/locus/YGL240W/go' target='_blank'>YGL240W</a>
YDL105W,NSE4,Smc5-Smc6 complex,<a href='https://www.yeastgenome.org/go/GO:0030915' target='_blank'>Smc5-Smc6 complex</a>,<a href='https://www.yeastgenome.org/locus/YDL105W/go' target='_blank'>YDL105W</a>
YPR129W,SCD6,P-body,<a href='https://www.yeastgenome.org/go/GO:0000932' target='_blank'>P-body</a>,<a href='https://www.yeastgenome.org/locus/YPR129W/go' target='_blank'>YPR129W</a>
YPR129W,SCD6,cytoplasmic stress granule,<a href='https://www.yeastgenome.org/go/GO:0010494' target='_blank'>cytoplasmic stress granule</a>,<a href='https://www.yeastgenome.org/locus/YPR129W/go' target='_blank'>YPR129W</a>
YPR129W,SCD6,intracellular ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0030529' target='_blank'>intracellular ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/YPR129W/go' target='_blank'>YPR129W</a>
YPL231W,FAS2,fatty acid synthase complex,<a href='https://www.yeastgenome.org/go/GO:0005835' target='_blank'>fatty acid synthase complex</a>,<a href='https://www.yeastgenome.org/locus/YPL231W/go' target='_blank'>YPL231W</a>
YHR158C,KEL1,Kelch-containing formin regulatory complex,<a href='https://www.yeastgenome.org/go/GO:1990615' target='_blank'>Kelch-containing formin regulatory complex</a>,<a href='https://www.yeastgenome.org/locus/YHR158C/go' target='_blank'>YHR158C</a>
YPL064C,CWC27,U2-type spliceosomal complex,<a href='https://www.yeastgenome.org/go/GO:0005684' target='_blank'>U2-type spliceosomal complex</a>,<a href='https://www.yeastgenome.org/locus/YPL064C/go' target='_blank'>YPL064C</a>
YPL064C,CWC27,intracellular ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0030529' target='_blank'>intracellular ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/YPL064C/go' target='_blank'>YPL064C</a>
YPL064C,CWC27,spliceosomal complex,<a href='https://www.yeastgenome.org/go/GO:0005681' target='_blank'>spliceosomal complex</a>,<a href='https://www.yeastgenome.org/locus/YPL064C/go' target='_blank'>YPL064C</a>
YPL237W,SUI3,eukaryotic 43S preinitiation complex,<a href='https://www.yeastgenome.org/go/GO:0016282' target='_blank'>eukaryotic 43S preinitiation complex</a>,<a href='https://www.yeastgenome.org/locus/YPL237W/go' target='_blank'>YPL237W</a>
YPL237W,SUI3,eukaryotic translation initiation factor 2 complex,<a href='https://www.yeastgenome.org/go/GO:0005850' target='_blank'>eukaryotic translation initiation factor 2 complex</a>,<a href='https://www.yeastgenome.org/locus/YPL237W/go' target='_blank'>YPL237W</a>
