complex,count,Systematic Name
"1,3-beta-D-glucan synthase complex",3,"['YGR032W', 'YLR342W', 'YPR165W']"
6-phosphofructokinase complex,2,"['YGR240C', 'YMR205C']"
90S preribosome,90,"['YBL004W', 'YBL072C', 'YBR048W', 'YBR189W', 'YBR247C', 'YCL031C', 'YCL059C', 'YCR031C', 'YCR057C', 'YDL014W', 'YDL060W', 'YDL148C', 'YDL213C', 'YDR025W', 'YDR060W', 'YDR064W', 'YDR083W', 'YDR299W', 'YDR324C', 'YDR449C', 'YER082C', 'YER102W', 'YFL002C', 'YGL019W', 'YGL120C', 'YGL171W', 'YGR081C', 'YGR090W', 'YGR103W', 'YGR128C', 'YGR145W', 'YGR214W', 'YGR251W', 'YHR148W', 'YHR169W', 'YHR196W', 'YHR203C', 'YIL035C', 'YJL010C', 'YJL069C', 'YJL109C', 'YJR002W', 'YJR123W', 'YJR145C', 'YKR060W', 'YLL011W', 'YLR003C', 'YLR129W', 'YLR175W', 'YLR186W', 'YLR197W', 'YLR222C', 'YLR340W', 'YLR409C', 'YLR441C', 'YML063W', 'YMR014W', 'YMR049C', 'YMR093W', 'YMR128W', 'YMR143W', 'YMR229C', 'YMR290C', 'YNL075W', 'YNL132W', 'YNL178W', 'YNL224C', 'YNL308C', 'YNR054C', 'YOL010W', 'YOR039W', 'YOR061W', 'YOR078W', 'YOR096W', 'YOR145C', 'YOR206W', 'YOR272W', 'YOR287C', 'YOR310C', 'YPL012W', 'YPL081W', 'YPL090C', 'YPL126W', 'YPL217C', 'YPL266W', 'YPR112C', 'YPR137W', 'YPR144C', 'snR17a', 'snR17b']"
AP-1 adaptor complex,6,"['YHL019C', 'YJL207C', 'YKL135C', 'YLR170C', 'YPL259C', 'YPR029C']"
AP-2 adaptor complex,4,"['YBL037W', 'YJR005W', 'YJR058C', 'YOL062C']"
AP-3 adaptor complex,4,"['YBR288C', 'YGR261C', 'YJL024C', 'YPL195W']"
ASTRA complex,7,"['YDR190C', 'YGR099W', 'YHR099W', 'YJR136C', 'YKL033W', 'YPL235W', 'YPR085C']"
ATG1/ULK1 kinase complex,3,"['YGL180W', 'YLR423C', 'YPR185W']"
Ada2/Gcn5/Ada3 transcription activator complex,7,"['YCL010C', 'YCR082W', 'YDR176W', 'YDR448W', 'YGR252W', 'YOR023C', 'YPL254W']"
Arp2/3 protein complex,8,"['YBR234C', 'YDL029W', 'YIL062C', 'YJR065C', 'YKL013C', 'YLR370C', 'YLR429W', 'YNR035C']"
Asi complex,3,"['YMR119W', 'YNL008C', 'YNL159C']"
