Systematic Name,Standard Name,disease,Evidence Code,Reference,term_link,gene_link
Q0085,ATP6,NARP syndrome,IMP,<a href='https://pubmed.ncbi.nlm.nih.gov/24316278' target='_blank'>PMID:24316278</a>,<a href='https://www.yeastgenome.org/disease/DOID:0111273' target='_blank'>NARP syndrome</a>,<a href='https://www.yeastgenome.org/locus/Q0085/disease' target='_blank'>Q0085</a>
Q0085,ATP6,NARP syndrome,ISS,<a href='https://pubmed.ncbi.nlm.nih.gov/24316278' target='_blank'>PMID:24316278</a>,<a href='https://www.yeastgenome.org/disease/DOID:0111273' target='_blank'>NARP syndrome</a>,<a href='https://www.yeastgenome.org/locus/Q0085/disease' target='_blank'>Q0085</a>
Q0085,ATP6,prostate cancer,IMP,<a href='https://pubmed.ncbi.nlm.nih.gov/28986220' target='_blank'>PMID:28986220</a>,<a href='https://www.yeastgenome.org/disease/DOID:10283' target='_blank'>prostate cancer</a>,<a href='https://www.yeastgenome.org/locus/Q0085/disease' target='_blank'>Q0085</a>
Q0085,ATP6,prostate cancer,ISS,<a href='https://pubmed.ncbi.nlm.nih.gov/28986220' target='_blank'>PMID:28986220</a>,<a href='https://www.yeastgenome.org/disease/DOID:10283' target='_blank'>prostate cancer</a>,<a href='https://www.yeastgenome.org/locus/Q0085/disease' target='_blank'>Q0085</a>
Q0085,ATP6,Charcot-Marie-Tooth disease,IMP,<a href='https://pubmed.ncbi.nlm.nih.gov/24316278' target='_blank'>PMID:24316278</a>,<a href='https://www.yeastgenome.org/disease/DOID:10595' target='_blank'>Charcot-Marie-Tooth disease</a>,<a href='https://www.yeastgenome.org/locus/Q0085/disease' target='_blank'>Q0085</a>
Q0085,ATP6,Charcot-Marie-Tooth disease,ISS,<a href='https://pubmed.ncbi.nlm.nih.gov/24316278' target='_blank'>PMID:24316278</a>,<a href='https://www.yeastgenome.org/disease/DOID:10595' target='_blank'>Charcot-Marie-Tooth disease</a>,<a href='https://www.yeastgenome.org/locus/Q0085/disease' target='_blank'>Q0085</a>
Q0085,ATP6,autosomal dominant cerebellar ataxia,IMP,<a href='https://pubmed.ncbi.nlm.nih.gov/24316278' target='_blank'>PMID:24316278</a>,<a href='https://www.yeastgenome.org/disease/DOID:1441' target='_blank'>autosomal dominant cerebellar ataxia</a>,<a href='https://www.yeastgenome.org/locus/Q0085/disease' target='_blank'>Q0085</a>
Q0085,ATP6,autosomal dominant cerebellar ataxia,ISS,<a href='https://pubmed.ncbi.nlm.nih.gov/24316278' target='_blank'>PMID:24316278</a>,<a href='https://www.yeastgenome.org/disease/DOID:1441' target='_blank'>autosomal dominant cerebellar ataxia</a>,<a href='https://www.yeastgenome.org/locus/Q0085/disease' target='_blank'>Q0085</a>
Q0085,ATP6,parathyroid carcinoma,IMP,<a href='https://pubmed.ncbi.nlm.nih.gov/28986220' target='_blank'>PMID:28986220</a>,<a href='https://www.yeastgenome.org/disease/DOID:1540' target='_blank'>parathyroid carcinoma</a>,<a href='https://www.yeastgenome.org/locus/Q0085/disease' target='_blank'>Q0085</a>
Q0085,ATP6,parathyroid carcinoma,ISS,<a href='https://pubmed.ncbi.nlm.nih.gov/28986220' target='_blank'>PMID:28986220</a>,<a href='https://www.yeastgenome.org/disease/DOID:1540' target='_blank'>parathyroid carcinoma</a>,<a href='https://www.yeastgenome.org/locus/Q0085/disease' target='_blank'>Q0085</a>
