genetic_interaction_id,count,Systematic Name,genetic_interaction
Q0045,16,"['YDL044C', 'YDR300C', 'YEL047C', 'YGL064C', 'YGL143C', 'YHR086W', 'YJR148W', 'YKL141W', 'YKL216W', 'YLR142W', 'YLR203C', 'YLR348C', 'YMR080C', 'YOR323C', 'YPL189C-A', 'YPL262W']",COX1
Q0080,1,['YDR350C'],ATP8
Q0085,3,"['YDR350C', 'YDR375C', 'YLR393W']",ATP6
Q0105,8,"['YDL044C', 'YHL038C', 'YHR086W', 'YJL133W', 'YJL209W', 'YMR080C', 'YOR017W', 'YOR334W']",COB
Q0110,1,['YMR080C'],BI2
Q0120,2,"['YDL044C', 'YLR382C']",BI4
Q0140,1,['YPL029W'],VAR1
Q0250,9,"['YBL090W', 'YBR122C', 'YDR494W', 'YER153C', 'YER154W', 'YGL143C', 'YGR062C', 'YMR257C', 'YPL118W']",COX2
Q0275,8,"['YBL090W', 'YDR494W', 'YER153C', 'YGR222W', 'YJL138C', 'YKR059W', 'YNR045W', 'YPL118W']",COX3
YAL001C,16,"['YBR123C', 'YDL014W', 'YDR362C', 'YER095W', 'YER148W', 'YGR047C', 'YGR246C', 'YHR143W-A', 'YKL006W', 'YKR092C', 'YLR344W', 'YML073C', 'YNL039W', 'YOR110W', 'YOR204W', 'YPR104C']",TFC3
YAL002W,327,"['YBL007C', 'YBL017C', 'YBL058W', 'YBL103C', 'YBR015C', 'YBR023C', 'YBR036C', 'YBR078W', 'YBR092C', 'YBR095C', 'YBR135W', 'YBR164C', 'YBR171W', 'YBR218C', 'YBR231C', 'YBR289W', 'YCL011C', 'YCL043C', 'YCL061C', 'YCR009C', 'YCR016W', 'YCR017C', 'YCR044C', 'YCR101C', 'YDL002C', 'YDL015C', 'YDL033C', 'YDL049C', 'YDL074C', 'YDL077C', 'YDL095W', 'YDL115C', 'YDL145C', 'YDL149W', 'YDL155W', 'YDL185W', 'YDL218W', 'YDL220C', 'YDR045C', 'YDR080W', 'YDR089W', 'YDR092W', 'YDR108W', 'YDR137W', 'YDR146C', 'YDR159W', 'YDR200C', 'YDR207C', 'YDR238C', 'YDR257C', 'YDR276C', 'YDR291W', 'YDR293C', 'YDR334W', 'YDR335W', 'YDR359C', 'YDR363W-A', 'YDR372C', 'YDR388W', 'YDR389W', 'YDR392W', 'YDR414C', 'YDR440W', 'YDR469W', 'YDR477W', 'YDR485C', 'YDR492W', 'YDR508C', 'YEL031W', 'YEL042W', 'YEL043W', 'YEL050C', 'YER016W', 'YER030W', 'YER031C', 'YER068W', 'YER072W', 'YER075C', 'YER083C', 'YER089C', 'YER111C', 'YER122C', 'YER125W', 'YER151C', 'YER155C', 'YER161C', 'YFL001W', 'YFL023W', 'YFL026W', 'YFL031W', 'YFL038C', 'YFR004W', 'YFR009W', 'YFR010W', 'YFR051C', 'YGL005C', 'YGL008C', 'YGL019W', 'YGL020C', 'YGL025C', 'YGL043W', 'YGL045W', 'YGL054C', 'YGL058W', 'YGL061C', 'YGL081W', 'YGL084C', 'YGL110C', 'YGL115W', 'YGL124C', 'YGL137W', 'YGL151W', 'YGL167C', 'YGL195W', 'YGL212W', 'YGR002C', 'YGR078C', 'YGR089W', 'YGR122W', 'YGR135W', 'YGR157W', 'YGR167W', 'YGR206W', 'YGR229C', 'YGR252W', 'YGR270W', 'YGR282C', 'YHL002W', 'YHL020C', 'YHL027W', 'YHL031C', 'YHR030C', 'YHR031C', 'YHR067W', 'YHR081W', 'YHR108W', 'YHR132C', 'YHR138C', 'YHR142W', 'YHR154W', 'YHR167W', 'YHR191C', 'YIL062C', 'YIL076W', 'YIL084C', 'YIL090W', 'YIL110W', 'YIL128W', 'YIL146C', 'YIL160C', 'YIR008C', 'YJL004C', 'YJL012C', 'YJL053W', 'YJL062W', 'YJL092W', 'YJL095W', 'YJL115W', 'YJL148W', 'YJL154C', 'YJL166W', 'YJL176C', 'YJL183W', 'YJR032W', 'YJR035W', 'YJR043C', 'YJR044C', 'YJR075W', 'YJR077C', 'YJR125C', 'YJR139C', 'YJR143C', 'YJR144W', 'YKL004W', 'YKL041W', 'YKL053C-A', 'YKL055C', 'YKL073W', 'YKL092C', 'YKL101W', 'YKL113C', 'YKL119C', 'YKL127W', 'YKL148C', 'YKL171W', 'YKL190W', 'YKL191W', 'YKL213C', 'YKR001C', 'YKR009C', 'YKR014C', 'YKR024C', 'YKR029C', 'YKR052C', 'YKR091W', 'YKR099W', 'YLL002W', 'YLL006W', 'YLL028W', 'YLR022C', 'YLR023C', 'YLR039C', 'YLR046C', 'YLR055C', 'YLR085C', 'YLR087C', 'YLR181C', 'YLR182W', 'YLR200W', 'YLR207W', 'YLR262C', 'YLR314C', 'YLR330W', 'YLR337C', 'YLR350W', 'YLR360W', 'YLR384C', 'YLR418C', 'YML019W', 'YML032C', 'YML041C', 'YML071C', 'YML094W', 'YML097C', 'YML124C', 'YMR003W', 'YMR016C', 'YMR022W', 'YMR023C', 'YMR044W', 'YMR055C', 'YMR060C', 'YMR063W', 'YMR109W', 'YMR149W', 'YMR161W', 'YMR165C', 'YMR179W', 'YMR186W', 'YMR197C', 'YMR224C', 'YMR231W', 'YMR263W', 'YMR267W', 'YMR293C', 'YMR307W', 'YNL021W', 'YNL037C', 'YNL041C', 'YNL051W', 'YNL064C', 'YNL068C', 'YNL097C', 'YNL106C', 'YNL113W', 'YNL169C', 'YNL206C', 'YNL215W', 'YNL216W', 'YNL229C', 'YNL236W', 'YNL262W', 'YNL264C', 'YNL273W', 'YNL287W', 'YNL288W', 'YNL294C', 'YNL297C', 'YNL309W', 'YNL315C', 'YNL323W', 'YNL330C', 'YNR035C', 'YNR051C', 'YOL001W', 'YOL004W', 'YOL006C', 'YOL009C', 'YOL012C', 'YOL018C', 'YOL054W', 'YOL115W', 'YOL129W', 'YOL132W', 'YOL145C', 'YOR014W', 'YOR030W', 'YOR043W', 'YOR061W', 'YOR067C', 'YOR068C', 'YOR069W', 'YOR070C', 'YOR080W', 'YOR089C', 'YOR106W', 'YOR122C', 'YOR132W', 'YOR140W', 'YOR141C', 'YOR228C', 'YOR244W', 'YOR265W', 'YOR273C', 'YOR275C', 'YOR327C', 'YPL015C', 'YPL031C', 'YPL051W', 'YPL055C', 'YPL057C', 'YPL079W', 'YPL084W', 'YPL086C', 'YPL139C', 'YPL175W', 'YPL234C', 'YPL240C', 'YPL262W', 'YPR024W', 'YPR030W', 'YPR119W', 'YPR134W', 'YPR135W', 'YPR148C', 'YPR153W', 'YPR164W']",VPS8
YAL003W,36,"['YBR118W', 'YBR143C', 'YCR077C', 'YDR159W', 'YDR170C', 'YDR172W', 'YDR363W-A', 'YDR439W', 'YGL086W', 'YGL233W', 'YGR081C', 'YHR167W', 'YIL038C', 'YIL040W', 'YJL006C', 'YJL124C', 'YKL057C', 'YLR418C', 'YML014W', 'YML094W', 'YMR190C', 'YNL147W', 'YNR015W', 'YOL004W', 'YOL006C', 'YOL012C', 'YOL072W', 'YOL093W', 'YOR001W', 'YOR006C', 'YOR038C', 'YOR039W', 'YOR046C', 'YOR061W', 'YPL157W', 'YPR101W']",EFB1
YAL005C,35,"['YBL075C', 'YBR101C', 'YCR086W', 'YDL020C', 'YDL229W', 'YER103W', 'YER151C', 'YER161C', 'YFL039C', 'YGL073W', 'YGL141W', 'YGL181W', 'YHR174W', 'YIL030C', 'YJL061W', 'YJR032W', 'YKL166C', 'YLL024C', 'YLL026W', 'YLR200W', 'YLR212C', 'YLR305C', 'YML069W', 'YML103C', 'YMR284W', 'YNL007C', 'YNL064C', 'YNL090W', 'YNL121C', 'YNL189W', 'YNL209W', 'YNL330C', 'YOL115W', 'YOR027W', 'YPR085C']",SSA1
YAL007C,32,"['YAL058W', 'YAR002C-A', 'YBR229C', 'YBR231C', 'YBR245C', 'YCR044C', 'YDL018C', 'YDL099W', 'YDL100C', 'YDL226C', 'YDR100W', 'YDR108W', 'YDR196C', 'YDR310C', 'YEL050C', 'YER083C', 'YER122C', 'YGL020C', 'YHR078W', 'YIL090W', 'YJL034W', 'YJL092W', 'YKR001C', 'YLR208W', 'YLR268W', 'YML128C', 'YNL064C', 'YOL018C', 'YOL111C', 'YOR016C', 'YOR164C', 'YPL172C']",ERP2
