go_c,count,Systematic Name
"1,3-beta-D-glucan synthase complex",4,"['YGR032W', 'YLR342W', 'YMR306W', 'YPR165W']"
2-micrometer circle DNA,2,"['YDR180W', 'YKL049C']"
3-isopropylmalate dehydratase complex,1,['YGL009C']
6-phosphofructokinase complex,2,"['YGR240C', 'YMR205C']"
90S preribosome,80,"['YBL004W', 'YBL072C', 'YBR048W', 'YBR189W', 'YBR247C', 'YCL059C', 'YCR031C', 'YCR057C', 'YDL014W', 'YDL060W', 'YDL148C', 'YDL213C', 'YDR025W', 'YDR064W', 'YDR083W', 'YDR299W', 'YDR324C', 'YDR449C', 'YER082C', 'YER102W', 'YER131W', 'YFL002C', 'YFL009W', 'YGL120C', 'YGL171W', 'YGL189C', 'YGR081C', 'YGR090W', 'YGR128C', 'YGR145W', 'YGR214W', 'YGR251W', 'YHR148W', 'YHR169W', 'YHR196W', 'YHR203C', 'YJL010C', 'YJL069C', 'YJL109C', 'YJR002W', 'YJR123W', 'YJR145C', 'YKR060W', 'YLL011W', 'YLR003C', 'YLR129W', 'YLR175W', 'YLR186W', 'YLR197W', 'YLR222C', 'YLR340W', 'YLR409C', 'YLR441C', 'YML063W', 'YMR014W', 'YMR093W', 'YMR128W', 'YMR143W', 'YMR229C', 'YMR290C', 'YNL075W', 'YNL132W', 'YNL178W', 'YNL224C', 'YNL308C', 'YOL010W', 'YOR078W', 'YOR096W', 'YOR145C', 'YOR287C', 'YOR310C', 'YPL012W', 'YPL081W', 'YPL090C', 'YPL126W', 'YPL217C', 'YPL266W', 'YPR112C', 'YPR137W', 'YPR144C']"
ADA complex,6,"['YCL010C', 'YCR082W', 'YDR176W', 'YDR448W', 'YGR252W', 'YOR023C']"
AP-1 adaptor complex,4,"['YKL135C', 'YLR170C', 'YPL259C', 'YPR029C']"
AP-2 adaptor complex,5,"['YBL037W', 'YHL019C', 'YJR005W', 'YJR058C', 'YOL062C']"
AP-3 adaptor complex,4,"['YBR288C', 'YGR261C', 'YJL024C', 'YPL195W']"
ASTRA complex,7,"['YDR190C', 'YGR099W', 'YHR099W', 'YJR136C', 'YKL033W', 'YPL235W', 'YPR085C']"
ATG1/ULK1 kinase complex,6,"['YDR022C', 'YGL180W', 'YLR423C', 'YPL166W', 'YPR049C', 'YPR185W']"
Ada2/Gcn5/Ada3 transcription activator complex,1,['YPL254W']
Aim21-Tda2 complex,2,"['YER071C', 'YIR003W']"
Arp2/3 protein complex,7,"['YBR234C', 'YDL029W', 'YIL062C', 'YJR065C', 'YKL013C', 'YLR370C', 'YNR035C']"
Asi complex,3,"['YMR119W', 'YNL008C', 'YNL159C']"
Atg12-Atg5-Atg16 complex,3,"['YBR217W', 'YMR159C', 'YPL149W']"
BLOC-1 complex,6,"['YDR357C', 'YEL005C', 'YGL079W', 'YKL061W', 'YLR408C', 'YNL086W']"
Bfa1-Bub2 complex,2,"['YJR053W', 'YMR055C']"
CAAX-protein geranylgeranyltransferase complex,2,"['YGL155W', 'YKL019W']"
CAF-1 complex,3,"['YBR195C', 'YML102W', 'YPR018W']"
CBF3 complex,4,"['YDR328C', 'YGR140W', 'YMR094W', 'YMR168C']"
CCAAT-binding factor complex,4,"['YBL021C', 'YGL237C', 'YKL109W', 'YOR358W']"
CCR4-NOT complex,7,"['YAL021C', 'YER068W', 'YFL028C', 'YKR036C', 'YNL288W', 'YNR052C', 'YOL042W']"
CCR4-NOT core complex,10,"['YAL021C', 'YCR093W', 'YDL165W', 'YDR252W', 'YER068W', 'YGR134W', 'YIL038C', 'YNL288W', 'YNR052C', 'YPR072W']"
CENP-A containing nucleosome,3,"['YBR010W', 'YKL049C', 'YNL031C']"
CHRAC,5,"['YBR278W', 'YDR121W', 'YGL133W', 'YJL065C', 'YOR304W']"
CIA complex,4,"['YDR267C', 'YHR122W', 'YIL128W', 'YNL240C']"
CMG complex,11,"['YBL023C', 'YBR202W', 'YDR013W', 'YDR489W', 'YEL032W', 'YGL201C', 'YJL072C', 'YLR103C', 'YLR274W', 'YOL146W', 'YPR019W']"
COMA complex,4,"['YBR211C', 'YDR318W', 'YGR179C', 'YPL018W']"
COP9 signalosome,7,"['YDL147W', 'YDL216C', 'YDR179C', 'YIL071C', 'YJR084W', 'YMR025W', 'YOL117W']"
COPI vesicle coat,8,"['YDL145C', 'YDR238C', 'YER122C', 'YFR051C', 'YGL137W', 'YIL076W', 'YNL287W', 'YPL010W']"
COPI-coated vesicle,12,"['YCL001W', 'YDR100W', 'YER005W', 'YER113C', 'YER122C', 'YIL048W', 'YJL123C', 'YJR134C', 'YML038C', 'YOL107W', 'YOL137W', 'YPL246C']"
COPI-coated vesicle membrane,12,"['YAR033W', 'YDL121C', 'YDL145C', 'YDR238C', 'YFR051C', 'YGL051W', 'YGL137W', 'YIL076W', 'YKL077W', 'YML038C', 'YNL287W', 'YPL010W']"
COPII vesicle coat,8,"['YDL195W', 'YHR035W', 'YHR098C', 'YIL109C', 'YLR208W', 'YNL049C', 'YPL218W', 'YPR181C']"
CORVET complex,6,"['YAL002W', 'YDR495C', 'YLR148W', 'YLR396C', 'YMR231W', 'YPL045W']"
CST complex,3,"['YDL220C', 'YDR082W', 'YLR010C']"
CTDK-1 complex,3,"['YJL006C', 'YKL139W', 'YML112W']"
CURI complex,4,"['YCL031C', 'YGR090W', 'YLR223C', 'YOR039W']"
CVT complex,4,"['YGL156W', 'YKL103C', 'YOL082W', 'YOL083W']"
Cbf1-Met4-Met28 complex,3,"['YIR017C', 'YJR060W', 'YNL103W']"
Cbp3p-Cbp6 complex,2,"['YBR120C', 'YPL215W']"
Cdc24p-Far1p-Gbetagamma complex,4,"['YAL041W', 'YJL157C', 'YJR086W', 'YOR212W']"
Cdc48p-Npl4p-Vms1p AAA ATPase complex,3,"['YBR170C', 'YDL126C', 'YDR049W']"
Cdc50p-Drs2p complex,2,"['YAL026C', 'YCR094W']"
Cdc73/Paf1 complex,7,"['YAL021C', 'YBR279W', 'YDR138W', 'YGL244W', 'YLR418C', 'YOL145C', 'YOR123C']"
Clr6 histone deacetylase complex I'',1,['YBR095C']
CoA-synthesizing protein complex,6,"['YDR196C', 'YGR277C', 'YIL083C', 'YKL088W', 'YKR072C', 'YOR054C']"
Ctf18 RFC-like complex,7,"['YBR087W', 'YCL016C', 'YHR191C', 'YJR068W', 'YMR078C', 'YNL290W', 'YOL094C']"
Cul3-RING ubiquitin ligase complex,7,"['YBR114W', 'YGR003W', 'YJL047C', 'YJR052W', 'YNL230C', 'YOL133W', 'YPL046C']"
Cul4-RING E3 ubiquitin ligase complex,2,"['YLL011W', 'YPL151C']"
Cul4A-RING E3 ubiquitin ligase complex,1,['YDR030C']
Cul8-RING ubiquitin ligase complex,5,"['YHR154W', 'YJL047C', 'YLR320W', 'YOL133W', 'YPR164W']"
Cvt vesicle membrane,1,['YBL078C']
DASH complex,10,"['YBR233W-A', 'YDR016C', 'YDR201W', 'YDR320C-A', 'YGL061C', 'YGR113W', 'YKL052C', 'YKL138C-A', 'YKR037C', 'YKR083C']"
DNA helicase A complex,1,['YKL017C']
DNA ligase IV complex,3,"['YGL090W', 'YLR265C', 'YOR005C']"
DNA polymerase complex,1,['YJR006W']
DNA recombinase auxiliary factor complex,1,['YGL033W']
DNA replication factor A complex,3,"['YAR007C', 'YJL173C', 'YNL312W']"
DNA replication factor C complex,5,"['YBR087W', 'YJR068W', 'YNL290W', 'YOL094C', 'YOR217W']"
DNA replication preinitiation complex,22,"['YBL023C', 'YBR060C', 'YBR202W', 'YDR013W', 'YDR489W', 'YEL032W', 'YGL113W', 'YGL201C', 'YHR118C', 'YJL072C', 'YJL090C', 'YJL194W', 'YKL108W', 'YLL004W', 'YLR103C', 'YLR274W', 'YML065W', 'YNL261W', 'YOL146W', 'YOR060C', 'YPR019W', 'YPR162C']"
DNA replication termination region,1,['YNL088W']
DNA-directed RNA polymerase I complex,14,"['YBR154C', 'YDR156W', 'YHR143W-A', 'YJL148W', 'YJR063W', 'YNL113W', 'YNL248C', 'YOR210W', 'YOR224C', 'YOR340C', 'YOR341W', 'YPR010C', 'YPR110C', 'YPR187W']"
"DNA-directed RNA polymerase II, core complex",12,"['YBR154C', 'YDL140C', 'YDR404C', 'YGL070C', 'YHR143W-A', 'YIL021W', 'YJL140W', 'YOL005C', 'YOR151C', 'YOR210W', 'YOR224C', 'YPR187W']"
"DNA-directed RNA polymerase II, holoenzyme",1,['YDR289C']
DNA-directed RNA polymerase III complex,17,"['YBR154C', 'YDL150W', 'YDR045C', 'YHR143W-A', 'YJL011C', 'YKL144C', 'YKR025W', 'YNL113W', 'YNL151C', 'YNR003C', 'YOR116C', 'YOR207C', 'YOR210W', 'YOR224C', 'YPR110C', 'YPR187W', 'YPR190C']"
DSIF complex,2,"['YGR063C', 'YML010W']"
DUBm complex,4,"['YBR111W-A', 'YGL066W', 'YMR223W', 'YPL047W']"
Dbf4-dependent protein kinase complex,2,"['YDL017W', 'YDR052C']"
Dcp1-Dcp2 complex,3,"['YGL222C', 'YNL118C', 'YOL149W']"
Doa10p ubiquitin ligase complex,7,"['YBR170C', 'YDL126C', 'YGR048W', 'YIL030C', 'YML013W', 'YMR022W', 'YMR264W']"
Dom34-Hbs1 complex,2,"['YKR084C', 'YNL001W']"
Dsc E3 ubiquitin ligase complex,6,"['YDL091C', 'YIR014W', 'YKL034W', 'YOL073C', 'YOR223W', 'YPR109W']"
Dsl1/NZR complex,3,"['YGL145W', 'YLR440C', 'YNL258C']"
EKC/KEOPS complex,5,"['YGR262C', 'YJL184W', 'YKR038C', 'YKR095W-A', 'YML036W']"
ER membrane protein complex,6,"['YCL045C', 'YGL231C', 'YIL027C', 'YJR088C', 'YKL207W', 'YLL014W']"
ER to Golgi transport vesicle,27,"['YAL007C', 'YAL042W', 'YAR002C-A', 'YBR210W', 'YCL001W', 'YDL018C', 'YDR189W', 'YER074W-A', 'YFL048C', 'YGL002W', 'YGL054C', 'YGL200C', 'YGR172C', 'YGR284C', 'YHR110W', 'YHR181W', 'YIL004C', 'YKR039W', 'YKR044W', 'YLR080W', 'YML012W', 'YML067C', 'YMR292W', 'YMR307W', 'YNL044W', 'YNL263C', 'YOR016C']"
ER to Golgi transport vesicle membrane,16,"['YAR033W', 'YDL058W', 'YDL121C', 'YDL195W', 'YEL043W', 'YGL051W', 'YGR105W', 'YIL109C', 'YLR078C', 'YLR208W', 'YLR268W', 'YML067C', 'YMR197C', 'YPL085W', 'YPL218W', 'YPR181C']"
ER-mitochondrion membrane contact site,3,"['YFL042C', 'YLR072W', 'YPL218W']"
ERCC4-ERCC1 complex,1,['YML095C']
ERMES complex,5,"['YAL010C', 'YAL048C', 'YGL219C', 'YLL006W', 'YOL009C']"
ESCRT I complex,4,"['YCL008C', 'YGR206W', 'YLR119W', 'YPL065W']"
