go_p,count,Systematic Name
'de novo' AMP biosynthetic process,2,"['YLR359W', 'YNL220W']"
'de novo' CTP biosynthetic process,2,"['YBL039C', 'YJR103W']"
'de novo' IMP biosynthetic process,9,"['YAR015W', 'YDR408C', 'YGL234W', 'YGR061C', 'YLR028C', 'YLR359W', 'YMR120C', 'YMR300C', 'YOR128C']"
'de novo' L-methionine biosynthetic process,2,"['YGL184C', 'YLR303W']"
'de novo' NAD biosynthetic process from tryptophan,6,"['YBL098W', 'YDR428C', 'YFR047C', 'YJR025C', 'YJR078W', 'YLR231C']"
'de novo' UMP biosynthetic process,6,"['YEL021W', 'YJL130C', 'YKL216W', 'YLR420W', 'YML106W', 'YMR271C']"
'de novo' cotranslational protein folding,5,"['YDL229W', 'YDR161W', 'YGR285C', 'YHR064C', 'YNL209W']"
'de novo' protein folding,6,"['YFL016C', 'YLR259C', 'YMR186W', 'YMR200W', 'YNL064C', 'YPL240C']"
'de novo' pyridoxal 5'-phosphate biosynthetic process,1,['YMR095C']
'de novo' pyrimidine nucleobase biosynthetic process,9,"['YEL021W', 'YJL130C', 'YJR109C', 'YKL024C', 'YKL216W', 'YLR420W', 'YML106W', 'YMR271C', 'YOR303W']"
(1->3)-beta-D-glucan biosynthetic process,4,"['YDR420W', 'YGR032W', 'YLR342W', 'YMR306W']"
(1->3)-beta-D-glucan metabolic process,1,['YOL030W']
(1->6)-beta-D-glucan biosynthetic process,7,"['YDL049C', 'YFR042W', 'YGR143W', 'YHR101C', 'YJL174W', 'YKL035W', 'YPR159W']"
(1->6)-beta-D-glucan metabolic process,1,['YJL174W']
(R)-carnitine transmembrane transport,1,['YGL077C']
(R)-carnitine transport,1,['YGL077C']
2-micrometer plasmid partitioning,7,"['R0020C', 'R0040C', 'YBL063W', 'YCL029C', 'YDR180W', 'YER016W', 'YKL049C']"
2-oxoglutarate metabolic process,4,"['YDR148C', 'YFL018C', 'YFR049W', 'YIL125W']"
3'-UTR-mediated mRNA destabilization,1,['YBR212W']
3'-UTR-mediated mRNA stabilization,1,['YBL032W']
3'-phospho-5'-adenylyl sulfate transmembrane transport,1,['YPR011C']
"3,4-dihydroxybenzoate catabolic process",1,['YER010C']
3-keto-sphinganine metabolic process,2,"['YBR058C-A', 'YBR265W']"
5'-adenylyl sulfate transmembrane transport,1,['YPR011C']
5-amino-1-ribofuranosylimidazole-4-carboxamide transmembrane transport,3,"['YLR237W', 'YOR071C', 'YOR192C']"
5-phosphoribose 1-diphosphate biosynthetic process,5,"['YBL068W', 'YER099C', 'YHL011C', 'YKL181W', 'YOL061W']"
5S class rRNA transcription from RNA polymerase III type 1 promoter,8,"['YAL001C', 'YBR123C', 'YDR362C', 'YFL023W', 'YGR047C', 'YOR110W', 'YPL007C', 'YPR186C']"
"7,8-dihydroneopterin 3'-triphosphate biosynthetic process",1,['YGR267C']
7-methylguanosine RNA capping,1,['YPL157W']
7-methylguanosine cap hypermethylation,2,"['YNR004W', 'YPL157W']"
7-methylguanosine mRNA capping,8,"['YBR160W', 'YBR236C', 'YDL108W', 'YGL130W', 'YGR063C', 'YMR125W', 'YMR180C', 'YPL228W']"
90S preribosome assembly,1,['YMR229C']
ADP biosynthetic process,2,"['YDR226W', 'YER170W']"
ADP transport,3,"['YBL030C', 'YNL083W', 'YPR128C']"
AMP biosynthetic process,1,['YNL220W']
AMP metabolic process,3,"['YDR226W', 'YER170W', 'YML035C']"
AMP salvage,3,"['YDR441C', 'YJR105W', 'YML022W']"
ATP biosynthetic process,15,"['Q0080', 'Q0085', 'YBL099W', 'YBR039W', 'YDL004W', 'YDR298C', 'YDR322C-A', 'YDR377W', 'YJR121W', 'YKL016C', 'YLR295C', 'YML081C-A', 'YOL077W-A', 'YPL271W', 'YPR020W']"
ATP export,17,"['YCL008C', 'YDR069C', 'YGR206W', 'YHL002W', 'YJR102C', 'YKL002W', 'YKL041W', 'YKL143W', 'YLR025W', 'YLR119W', 'YLR417W', 'YMR077C', 'YMR275C', 'YNR006W', 'YPL002C', 'YPL065W', 'YPL084W']"
ATP metabolic process,5,"['YBL099W', 'YBR127C', 'YDL185W', 'YDR226W', 'YJR121W']"
ATP synthesis coupled electron transport,1,['Q0250']
ATP synthesis coupled proton transport,19,"['Q0080', 'Q0085', 'Q0130', 'YBL099W', 'YBR039W', 'YDL004W', 'YDL185W', 'YDR298C', 'YDR322C-A', 'YDR377W', 'YJR121W', 'YKL016C', 'YLR295C', 'YML081C-A', 'YOL077W-A', 'YOR020W-A', 'YPL078C', 'YPL271W', 'YPR020W']"
ATP transport,4,"['YBL030C', 'YKL165C', 'YNL083W', 'YPR128C']"
Arp2/3 complex-mediated actin nucleation,7,"['YBR234C', 'YDL029W', 'YIL062C', 'YJR065C', 'YKL013C', 'YLR370C', 'YNR035C']"
C-terminal protein demethylation,1,['YHR075C']
C-terminal protein lipidation,6,"['YBR217W', 'YHR171W', 'YMR159C', 'YNL223W', 'YNR007C', 'YPL149W']"
C-terminal protein methylation,2,"['YDR410C', 'YDR435C']"
CAAX-box protein processing,2,"['YJR117W', 'YMR274C']"
CDP biosynthetic process,1,['YKL024C']
CDP-choline pathway,5,"['YDR147W', 'YGR202C', 'YHR123W', 'YLR133W', 'YNL130C']"
CDP-diacylglycerol biosynthetic process,5,"['YBL011W', 'YBR029C', 'YDL052C', 'YGR046W', 'YKR067W']"
COPI coating of Golgi vesicle,1,['YER122C']
COPII vesicle coating,1,['YPL085W']
