Systematic Name,Standard Name,pathway,Reference,term_link,gene_link
YFL018C,LPD1,2-ketoglutarate dehydrogenase complex,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/2072900' target='_blank'>2072900</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY-5084"" target=""_blank"">2-ketoglutarate dehydrogenase complex</a>",<a href='https://www.yeastgenome.org/locus/YFL018C' target='_blank'>YFL018C</a>
YDR148C,KGD2,2-ketoglutarate dehydrogenase complex,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/2072900' target='_blank'>2072900</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY-5084"" target=""_blank"">2-ketoglutarate dehydrogenase complex</a>",<a href='https://www.yeastgenome.org/locus/YDR148C' target='_blank'>YDR148C</a>
YIL125W,KGD1,2-ketoglutarate dehydrogenase complex,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/2072900' target='_blank'>2072900</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY-5084"" target=""_blank"">2-ketoglutarate dehydrogenase complex</a>",<a href='https://www.yeastgenome.org/locus/YIL125W' target='_blank'>YIL125W</a>
YGR019W,UGA1,4-aminobutyrate degradation,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/3888627' target='_blank'>3888627</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=NIL&object=YEAST-4AMINOBUTMETAB-PWY&redirect=T"" target=""_blank"">4-aminobutyrate degradation</a>",<a href='https://www.yeastgenome.org/locus/YGR019W' target='_blank'>YGR019W</a>
YBR006W,UGA2,4-aminobutyrate degradation,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/3888627' target='_blank'>3888627</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=NIL&object=YEAST-4AMINOBUTMETAB-PWY&redirect=T"" target=""_blank"">4-aminobutyrate degradation</a>",<a href='https://www.yeastgenome.org/locus/YBR006W' target='_blank'>YBR006W</a>
YAL054C,ACS1,acetate utilization, ,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=NIL&object=ACETATEUTIL2-PWY&redirect=T"" target=""_blank"">acetate utilization</a>",<a href='https://www.yeastgenome.org/locus/YAL054C' target='_blank'>YAL054C</a>
YLR153C,ACS2,acetate utilization, ,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=NIL&object=ACETATEUTIL2-PWY&redirect=T"" target=""_blank"">acetate utilization</a>",<a href='https://www.yeastgenome.org/locus/YLR153C' target='_blank'>YLR153C</a>
YAL060W,BDH1,acetoin biosynthesis,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/16535224' target='_blank'>16535224</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/10938079' target='_blank'>10938079</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY3O-335"" target=""_blank"">acetoin biosynthesis</a>",<a href='https://www.yeastgenome.org/locus/YAL060W' target='_blank'>YAL060W</a>
YMR108W,ILV2,acetoin biosynthesis,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/16535224' target='_blank'>16535224</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/10938079' target='_blank'>10938079</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY3O-335"" target=""_blank"">acetoin biosynthesis</a>",<a href='https://www.yeastgenome.org/locus/YMR108W' target='_blank'>YMR108W</a>
YCL009C,ILV6,acetoin biosynthesis,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/16535224' target='_blank'>16535224</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/10938079' target='_blank'>10938079</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY3O-335"" target=""_blank"">acetoin biosynthesis</a>",<a href='https://www.yeastgenome.org/locus/YCL009C' target='_blank'>YCL009C</a>
YLR044C,PDC1,acetoin biosynthesis II,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/16535224' target='_blank'>16535224</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/2404950' target='_blank'>2404950</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/6383467' target='_blank'>6383467</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY3O-335"" target=""_blank"">acetoin biosynthesis II</a>",<a href='https://www.yeastgenome.org/locus/YLR044C' target='_blank'>YLR044C</a>
YLR044C,PDC1,acetoin biosynthesis II,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/16535224' target='_blank'>16535224</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/2404950' target='_blank'>2404950</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/6383467' target='_blank'>6383467</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY3O-335"" target=""_blank"">acetoin biosynthesis II</a>",<a href='https://www.yeastgenome.org/locus/YLR044C' target='_blank'>YLR044C</a>
YLR134W,PDC5,acetoin biosynthesis II,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/16535224' target='_blank'>16535224</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/2404950' target='_blank'>2404950</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/6383467' target='_blank'>6383467</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY3O-335"" target=""_blank"">acetoin biosynthesis II</a>",<a href='https://www.yeastgenome.org/locus/YLR134W' target='_blank'>YLR134W</a>
YLR134W,PDC5,acetoin biosynthesis II,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/16535224' target='_blank'>16535224</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/2404950' target='_blank'>2404950</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/6383467' target='_blank'>6383467</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY3O-335"" target=""_blank"">acetoin biosynthesis II</a>",<a href='https://www.yeastgenome.org/locus/YLR134W' target='_blank'>YLR134W</a>
