physical_interaction_id,count,Systematic Name,physical_interaction
Q0045,29,"['Q0085', 'Q0105', 'Q0140', 'Q0250', 'Q0275', 'YBL045C', 'YDR231C', 'YER154W', 'YGL187C', 'YGL191W', 'YGR033C', 'YGR112W', 'YGR222W', 'YHR051W', 'YIL111W', 'YIL157C', 'YJL062W-A', 'YKR016W', 'YLR203C', 'YLR395C', 'YML030W', 'YML129C', 'YMR256C', 'YNL052W', 'YNR017W', 'YNR018W', 'YOL027C', 'YPL172C', 'YPR191W']",COX1
Q0080,9,"['Q0085', 'YBL099W', 'YDR377W', 'YJR121W', 'YKL016C', 'YLR203C', 'YLR393W', 'YNR019W', 'YPL078C']",ATP8
Q0085,19,"['Q0045', 'Q0080', 'Q0130', 'Q0275', 'YBL099W', 'YBR039W', 'YCR106W', 'YDL004W', 'YER154W', 'YJR121W', 'YKL016C', 'YLR203C', 'YLR295C', 'YLR393W', 'YML081C-A', 'YML129C', 'YOL027C', 'YPL078C', 'YPL271W']",ATP6
Q0105,23,"['Q0045', 'Q0250', 'YBL030C', 'YBL045C', 'YBR120C', 'YDR231C', 'YDR375C', 'YDR529C', 'YEL024W', 'YER154W', 'YGL187C', 'YGR112W', 'YGR174C', 'YHL038C', 'YJL166W', 'YKR016W', 'YLR203C', 'YML030W', 'YML129C', 'YOL027C', 'YOR065W', 'YPL215W', 'YPR191W']",COB
Q0120,6,"['Q0120', 'YGL122C', 'YGL187C', 'YGR112W', 'YKR016W', 'YLR382C']",BI4
Q0130,11,"['Q0085', 'Q0130', 'YBL099W', 'YER154W', 'YHR051W', 'YJR045C', 'YKL016C', 'YLR203C', 'YLR393W', 'YOL027C', 'YPL078C']",OLI1
Q0160,1,['YBL075C'],SCEI
Q0250,32,"['Q0045', 'Q0105', 'Q0275', 'YBL030C', 'YBL045C', 'YBR024W', 'YBR037C', 'YDL107W', 'YDR231C', 'YER154W', 'YGL187C', 'YGR033C', 'YGR062C', 'YGR112W', 'YGR132C', 'YHR051W', 'YIL051C', 'YIL157C', 'YJL062W-A', 'YJR121W', 'YKR016W', 'YLR203C', 'YLR395C', 'YML030W', 'YML129C', 'YMR244C-A', 'YNL305C', 'YNR017W', 'YNR018W', 'YOL027C', 'YOR065W', 'YPR191W']",COX2
YAL001C,22,"['YBR009C', 'YBR123C', 'YDL074C', 'YDL078C', 'YDL097C', 'YDL147W', 'YDR362C', 'YDR381W', 'YDR449C', 'YDR523C', 'YFR052W', 'YGR047C', 'YIL149C', 'YIR010W', 'YKR095W', 'YLL013C', 'YMR039C', 'YMR093W', 'YNL030W', 'YNL209W', 'YOR110W', 'YPL007C']",TFC3
YAL002W,13,"['YDL077C', 'YDR495C', 'YGR218W', 'YKL193C', 'YKL203C', 'YKR014C', 'YKR026C', 'YLR148W', 'YLR396C', 'YMR231W', 'YNL093W', 'YOR089C', 'YPL045W']",VPS8
YAL003W,23,"['YBR118W', 'YBR160W', 'YCR077C', 'YDL160C', 'YDR135C', 'YER151C', 'YFR004W', 'YGL122C', 'YGL137W', 'YHL034C', 'YJL124C', 'YJR125C', 'YKL081W', 'YKL188C', 'YLL013C', 'YLR249W', 'YLR320W', 'YML064C', 'YNL002C', 'YNL209W', 'YNL255C', 'YPL048W', 'YPR080W']",EFB1
