Systematic Name,Protein Abundance_D1
YMR191W,3.359783478
YJL093C,3.8042278
YER184C,4.725729622
YGL063W,5.497247283
YPL159C,6.922928984
YDR106W,8.009892768
YIR025W,8.405220024
YDR082W,13.85543871
YLR443W,13.88987485
YNL038W,15.24110205
YMR187C,15.34657126
YJR106W,16.4629641
YNR063W,17.75506186
YBR297W,19.35830251
YDR126W,35.65229796
YJL213W,58.410894243
YJR126C,59.883489719
YOL043C,89.800423195
YHR015W,98.9
YLR210W,98.9
YKR041W,116.76634269
YMR190C,120.18724135159
YOL152W,120.3475218
YCR073C,122.95
YEL070W,125.0
YIR039C,125.4903748
Q0065,127.841590515
YHR173C,149.0
YDR104C,162.0
YIL172C,166.0
YBR203W,173.827197678778
YCR096C,175.7768994
YFL054C,181.86443658
YDR332W,182.086832466986
Q0115,183.0
YPL268W,188.480635046678
YDL109C,195.0
YJL083W,206.973771995
YFR027W,210.03568688
YLL054C,210.532143758767
YLR288C,212.88016687
YHR184W,216.355596481
YKR098C,220.329496155
YLR368W,222.152807394886
YFL062W,223.735135710492
YMR100W,235.170155625201
YDR522C,238.0
YPL280W,244.515255708053
YOR391C,244.515255708053
YFL053W,246.47928188
YDL194W,249.0
YNR059W,252.1472279
YLR087C,253.395807415084
YCL058W-A,255.499843267985
YLR049C,259.107822187926
YOL122C,269.790980465054
YOR033C,275.96973754
Q0055,286.564142231585
YBL089W,293.504768849986
YLR224W,298.775457251918
YDR314C,309.969210699823
Q0050,314.096601475238
YMR179W,318.72055875133
YGR096W,319.0
YMR111C,319.144238626667
YHL028W,320.483368295048
YBL019W,321.848755700665
YBR156C,322.5435974425
YDR085C,328.782625175497
YCR039C,333.319187619475
YBR136W,338.054191629228
YKR061W,345.213582332471
YNL294C,347.935922121711
YJR161C,351.427813141551
YJR021C,361.98167530146
YBR138C,365.5
YPR204W,370.898318338465
YPL179W,371.221062033027
YLL033W,376.991680760003
YKR051W,377.103639971597
YMR180C,378.50259044882
YCL004W,381.449007719226
YLR024C,387.679569995427
YHR031C,392.45729314675
YPL008W,395.365790440194
YPL060W,396.0
YLR320W,406.0
YOR348C,407.173253658661
YPR061C,414.0
YPL242C,414.853754416038
YDR179W-A,423.15978925911
YDL231C,425.8393447615
YBR114W,433.841083985381
YDL069C,434.911492682731
YDR501W,435.5986673155
YHR124W,440.83448987673
YPL174C,441.934102491716
YIL001W,442.646946199011
YOR208W,442.984127147125
YOL063C,446.724337728978
YHR178W,447.801087040162
YJL193W,447.84156196186
YER051W,449.302646277941
YHR035W,450.0
YGL113W,453.600108782221
YPR095C,455.331985954012
YNL325C,457.458401804411
YLL003W,461.649315010085
YGL090W,462.861622175
YPL230W,464.111161744176
YMR019W,465.350948832915
YER153C,468.0
YKL125W,469.167420016293
YGL104C,472.0
YPR026W,473.905003483227
YNL172W,474.334051867905
YPL164C,477.555700059088
YLR014C,477.762436763626
YGR110W,477.850553242429
YFL060C,478.902422571015
YKR064W,479.345728655261
YMR322C,481.166082504147
YNR045W,481.535387163252
YDR421W,482.160895313203
YER038C,483.505610320272
YMR176W,486.829769253561
YPL113C,487.31936711915
YHR150W,487.328612935875
YGR287C,489.067416294813
YGR288W,492.019305844353
YPL202C,492.294435034427
YIR029W,493.961195720707
YLR381W,496.685299657476
YDR102C,497.790991260207
YFR029W,499.286598260467
YLR173W,501.435294961164
YKR101W,503.795010512058
YDL073W,510.284289714781
YHR032W,513.0
YDR160W,515.0
YHR168W,515.160790535825
YNL029C,515.182718973105
YDL013W,517.847970146302
YLR352W,518.253326097488
YLR127C,518.939082576789
YGR188C,520.208286771386
YPR120C,521.0
YML099C,521.153204176882
YOR137C,521.540895630473
YGL144C,524.936917211696
YBR184W,528.0
YHR176W,531.45402339824
YPR084W,535.122410599748
YJL206C,535.955198297933
YJL106W,538.0
YMR257C,538.0
YPR021C,538.569816370282
YIL134W,539.08628799956
YOR324C,539.108634817072
YDL093W,540.223963631923
YBL014C,542.207446444613
YKL098W,543.023206825576
YOR071C,543.3649186666
YDR131C,543.799097159522
YOR172W,545.613390679242
YOL036W,551.649866650159
YBR201W,553.149615803293
YDR541C,554.857683160536
YGL131C,555.504364575322
YKL121W,567.349801765758
YPR119W,569.100288006976
YOR032C,571.0
YDR253C,571.806229792363
YBR270C,571.970206375808
YLL057C,573.0
YPR196W,574.218955378566
YML132W,574.684097998078
YNL008C,575.119104238998
YGR108W,575.532294193971
YLR353W,578.513284123331
YMR155W,578.653400774647
YDR242W,579.335941612573
YBL066C,582.220055784215
YGR249W,582.909853386473
