Systematic Name,Transcriptional Plasticity
YBL107W-A,0.010950334
YER091C-A,0.012387263
YDL133C-A,0.026901671
YKL162C-A,0.0276929
YPR002C-A,0.033188727
YKR035W-A,0.046538578
YDR034C-A,0.046914482
YBL091C-A,0.048969182
YMR046W-A,0.05106717
YML081C-A,0.052041598
YLR262C-A,0.052322736
YMR194C-A,0.058207764
YER048W-A,0.058247813
YOL013W-A,0.058478564
YOR298C-A,0.059148663
YCR018C-A,0.05925333
YCR097W-A,0.060526215
YPR133W-A,0.061189036
YLL018C-A,0.061355516
YNR032C-A,0.061427222
YCL001W-A,0.062858209
YDR322C-A,0.063204836
YPL183W-A,0.067894233
YKL053C-A,0.070203998
YLR438C-A,0.070410034
YFL034C-B,0.070798051
YFR032C-A,0.071690268
YCR097W,0.074490655
YDR363W-A,0.075407077
YPL249C-A,0.076046107
YKL033W-A,0.076620297
YDR525W-A,0.077614739
YGR122C-A,0.084113607
YFL017W-A,0.084261336
YAL064C-A,0.086331598
YCR020W-B,0.087319936
YMR172C-A,0.088672518
YGL226C-A,0.08950021
YDL130W-A,0.091824762
YCR092C,0.092751694
YMR153C-A,0.093165894
YOR170W,0.093522822
YBR058C,0.094354756
YGL085W,0.095790451
YDR415C,0.096456269
YMR075C-A,0.096740543
YEL020W-A,0.096945852
YDR145W,0.098212848
YER039C-A,0.099232437
YNL323W,0.099530958
YGR271W,0.099689929
YCR028C-A,0.099821251
YBR131W,0.100621891
YDL045W-A,0.101066494
YMR283C,0.101207108
YJL202C,0.101239785
YNL295W,0.101598335
YHR058C,0.102249617
YBL089W,0.102690076
YGR169C,0.102896161
YBR055C,0.10309978
YNL076W,0.103220329
YDR235W,0.104070252
YIL017C,0.10445823
YNL249C,0.105524246
YJL058C,0.105860037
YGR018C,0.106181395
YNL267W,0.106798091
YGL083W,0.107419174
YCL004W,0.107656639
YGR091W,0.107742716
YLR396C,0.108419731
YFL049W,0.108637574
YGL100W,0.108783956
YOL075C,0.109081785
YJL139C,0.109469678
YER140W,0.109475153
YLL033W,0.109517154
YBR216C,0.109567741
YJL024C,0.109846676
