Systematic Name,mRNA Half-life
YJR055W,0.769891771
YBR267W,0.86712038
YML043C,1.048788322
YJR056C,1.107262454
YDR437W,1.132081103
YML080W,1.133902117
YHR184W,1.134103378
YOR359W,1.140551946
YER130C,1.148135055
YBR034C,1.183064543
YOR077W,1.20801521
YLR073C,1.222008611
YDR075W,1.25808394
YHR085W,1.25888302
YJL122W,1.259191045
YNR053C,1.265499811
YOR266W,1.27167714
YBL042C,1.311228311
YEL019C,1.39595682
YLL011W,1.402505212
YKR060W,1.439193066
YPR186C,1.440297513
YER056C,1.443681748
YGR081C,1.478911976
YJL148W,1.513976472
YNL299W,1.581173526
YNL164C,1.606753138
YMR003W,1.624143922
YDR399W,1.6290761
YJR063W,1.693726442
YJL006C,1.702966169
YNL053W,1.706694736
YHL014C,1.715483849
YDR046C,1.726497845
YML018C,1.733275962
YPR143W,1.751618346
YMR093W,1.753962416
YIL079C,1.770937677
YCR086W,1.773480059
YKL078W,1.79249175
YDL209C,1.804442398
YHR052W,1.808575907
YGR030C,1.808733563
YJL125C,1.823044369
YKL009W,1.840927874
YHR144C,1.843601852
YPR119W,1.859634124
YIL104C,1.860739774
YOR295W,1.870218944
YGR108W,1.879198549
YNL210W,1.89257576
YLR068W,1.893536029
YOL010W,1.899842505
YOL126C,1.908169519
YDR514C,1.918246233
YPL144W,1.918913154
YML027W,1.929464349
YOR233W,1.943885742
YML006C,1.968644897
YNL188W,1.969140794
YBL028C,1.978349255
YBR145W,1.987972716
YOL044W,1.99232916
YNL182C,1.996096311
YGR271C-A,1.998147341
YLR094C,2.002451833
YBR257W,2.005144093
YLL004W,2.005585059
YLR435W,2.023903699
YPL026C,2.043122223
YDR449C,2.052289523
YPR137W,2.09032134
YLR146C,2.10701673
YNL111C,2.121362089
YAL059W,2.130298328
YLR363W-A,2.130368293
YIL158W,2.138918592
YKR056W,2.161179276
YNR038W,2.162553843
YOL020W,2.165852748
YMR059W,2.174078319
YJR112W,2.204847455
YIL061C,2.205951264
YDR370C,2.212747274
YDR419W,2.222627679
YOR004W,2.223206172
YBR104W,2.229842267
YBR233W-A,2.232932344
YLR186W,2.233184248
YHR084W,2.23371606
YDL129W,2.247118811
YDR225W,2.256124757
YJL106W,2.258086771
YDL139C,2.26278688
YPL081W,2.26792203
YOR143C,2.26893804
YLR405W,2.283559503
YGL061C,2.285553607
YPL089C,2.286004214
YKR099W,2.295516928
YPR031W,2.296521814
YNL253W,2.298237727
YCL063W,2.299295633
YOL056W,2.309297921
YBR172C,2.313828411
YBL014C,2.317463844
YDR083W,2.328655858
YOL124C,2.336348011
YIL150C,2.356508445
YHR206W,2.3576779
YML046W,2.358319956
YPR017C,2.361338332
YBR004C,2.364316809
YDL048C,2.374785348
YHR196W,2.391384452
YPL052W,2.397425205
YNR048W,2.397907496
YER034W,2.404220253
YOR315W,2.422349164
YDR410C,2.426997955
YHL006C,2.430684534
YDR280W,2.433495547
YOR252W,2.436000936
YOR101W,2.436582475
YJL157C,2.441152741
YDL208W,2.441806695
YER073W,2.44797208
YOR078W,2.452227671
YLR323C,2.454793156
YLR009W,2.461854803
YAL025C,2.461994707
YDL049C,2.466648369
YOR287C,2.468359256
YML112W,2.47031474
YFL024C,2.471765876
YPL212C,2.472884296
YOL054W,2.473766182
YHR143W-A,2.474171377
YKL074C,2.477998956
YDR324C,2.480224374
YDR451C,2.489482432
YKL154W,2.490053252
YLR067C,2.501995845
YDL063C,2.508375986
YML113W,2.514142633
YHR011W,2.518299852
YDR412W,2.525878869
YGL236C,2.527876941
YOL142W,2.532668422
YKL172W,2.533427735
YOR212W,2.540805233
YJL194W,2.553031785
YGL029W,2.553261913
YJL069C,2.560802303
YDL042C,2.563954647
YJL011C,2.567384275
YDR472W,2.568074292
YOR340C,2.572832553
YKR081C,2.575412764
YOR145C,2.578269799
YPR066W,2.579085832
YJR043C,2.584409377
YPL046C,2.585095413
YMR042W,2.605381605
YMR106C,2.607133277
YMR013C,2.608559622
YJR136C,2.61207209
YIL103W,2.614666386
YEL048C,2.623035192
YOR144C,2.626140668
YPL221W,2.627244287
YNL218W,2.629137937
YGR169C,2.629190711
YDR072C,2.631760748
YOR213C,2.632267049
YLR008C,2.635260475
YPL030W,2.636625821
YHR142W,2.648544334
YGR251W,2.650159189
YLR404W,2.656744179
YGL243W,2.656835735
YHR148W,2.662411993
YCL036W,2.662865264
YHL036W,2.666108411
YHL013C,2.66905448
YLR300W,2.670654082
YER127W,2.672742248
YKR027W,2.675750185
YNL030W,2.676540786
YJL162C,2.678679186
YPR141C,2.679085626
YJL108C,2.681646524
YNL289W,2.682838264
YLR130C,2.683856722
YKL156W,2.693657759
YGL063W,2.6949184
YLR191W,2.699422906
YNL326C,2.700256447
YBL031W,2.700937745
YMR300C,2.707953385
YBL052C,2.711550083
YGL064C,2.723674779
YGR150C,2.728055357
YPL227C,2.728941261
YBR141C,2.736167411
YDL167C,2.758010745
YML116W,2.759857285
YBR254C,2.764111994
YGR159C,2.764287498
YIL091C,2.766969588
YNL113W,2.766980243
YDL166C,2.774582747
YKR078W,2.775727801
YCR027C,2.777748164
YDR440W,2.782247834
YPL172C,2.797201607
YOL077C,2.799191964
YPL128C,2.801451609
YGL113W,2.809522389
YOL041C,2.817696818
YKL116C,2.827429147
YKL166C,2.831892402
YKR024C,2.835968871
YCL058C,2.837109396
YCL025C,2.839765536
YLL012W,2.846362458
YHR127W,2.849429816
YOR236W,2.851514105
YKL161C,2.856075853
YFL023W,2.869949525
YOR308C,2.872158675
YOR294W,2.881579445
YFR001W,2.891024209
YNL186W,2.891408342
YER001W,2.892694857
YHR066W,2.892827295
YPL043W,2.896556931
YOR229W,2.899411373
YBR271W,2.899629108
YMR240C,2.911683737
YCL016C,2.9247229
YGR082W,2.92729865
YHR187W,2.931266025
YBR265W,2.931522863
YHR040W,2.932461676
YDR496C,2.935812162
YMR263W,2.936374119
YPL093W,2.939457049
YLR135W,2.941300055
YDR398W,2.942007354
YDR198C,2.947158489
YDR311W,2.955556602
YLR215C,2.958255115
YGR216C,2.959096091
YFL002C,2.95946963
YGL057C,2.959846704
YNR024W,2.96680262
YPL189C-A,2.969175476
YHR169W,2.970873765
YOL125W,2.98311206
YFL001W,2.984273435
YMR274C,2.990311868
YML064C,2.995585022
YKR092C,2.999986307
YNL002C,3.003362265
YPR083W,3.009505579
YGR239C,3.01097312
YCR063W,3.012604447
YML005W,3.013942745
YOR283W,3.021544198
YFL034C-A,3.024366092
YMR239C,3.0293852
YFL034C-B,3.032919923
YPL157W,3.035279797
YER159C,3.037221483
YNL110C,3.041947595
YLR431C,3.042497927
YNL151C,3.055408943
YLR413W,3.060690644
YDR525W-A,3.061425601
YLR175W,3.069820585
YDL070W,3.074570195
YLR196W,3.07498369
YPL175W,3.078012065
YDR367W,3.084790042
YJL072C,3.095184362
YDR120C,3.103271038
YLR018C,3.108163572
YDL059C,3.110512118
YBR061C,3.110571115
YPL082C,3.111459907
YCL054W,3.1140611
YCR106W,3.114513382
YPL211W,3.115511234
YOR279C,3.118985633
YMR171C,3.127654884
YJL134W,3.130977752
YLR020C,3.131756124
YCR072C,3.132461962
YHL009C,3.13537323
YJL025W,3.144651275
YHR089C,3.146992475
YAR008W,3.148116737
YGL144C,3.148862205
YPL156C,3.150706989
YNR015W,3.154237641
YNR039C,3.166354728
YHR118C,3.168402443
YML123C,3.172025382
YBR028C,3.173453928
YDL201W,3.175253262
YER128W,3.180495365
YFR028C,3.183604449
YMR227C,3.184147695
YOR342C,3.184171265
YJL110C,3.186500274
YDR021W,3.188127145
YPL072W,3.190328785
YKL113C,3.190579763
YBR088C,3.190954819
YER173W,3.196641144
YOR073W,3.19901877
YKL155C,3.203961416
YLR090W,3.207142089
YDL189W,3.209563058
YOL058W,3.220262305
YDR300C,3.222957943
YLR040C,3.223145856
YDR363W,3.223399941
YKR080W,3.228828794
YDR045C,3.230043604
YBL069W,3.23224314
YGR120C,3.234613937
YDR181C,3.236730603
YNL254C,3.237342563
YDR049W,3.247327609
YGL050W,3.252164316
YML050W,3.254146805
YLR319C,3.259257811
YEL029C,3.260233635
YOR079C,3.26128792
YML087C,3.2701174
YPL183W-A,3.270823936
YIL005W,3.271287927
YFR026C,3.271778319
YLR226W,3.272742738
YJR144W,3.272938867
YIL016W,3.279297322
YMR044W,3.279598018
YNR017W,3.283885772
YPL177C,3.284019754
YKL032C,3.284027305
YGR075C,3.285902459
YIR008C,3.291826766
YPL029W,3.292686489
YKL170W,3.296380974
YER064C,3.296777319
YFR043C,3.298905776
YLL003W,3.300403175
YKL062W,3.301276039
YKR026C,3.302112878
YKL106W,3.305112787
YDL207W,3.308129657
YDR308C,3.321698131
YDR302W,3.325189871
YNL022C,3.327118161
YIL122W,3.328669398
YKR091W,3.329248223
YDR361C,3.329723751
YNR032W,3.330420849
YBL032W,3.333641266
YIL090W,3.337249507
YBR192W,3.339187695
YBR030W,3.341770421
YPL066W,3.349417011
YDR267C,3.350113294
YHR069C,3.350644222
YER169W,3.361891721
YOR243C,3.363325836
YJR155W,3.368985657
YGR076C,3.37357303
YML088W,3.375342208
YDR493W,3.380744937
YDR312W,3.381126109
YDR465C,3.382940991
YOL149W,3.38449583
YDR104C,3.385868862
YDL203C,3.386118006
YAL040C,3.387866039
YFR038W,3.388527038
YJL118W,3.391041008
YKL120W,3.391830021
YBR194W,3.392249977
YCL032W,3.39242285
YNL311C,3.393417918
YKL021C,3.39368673
YOL022C,3.394028699
YAL034W-A,3.395524021
YOR303W,3.397340691
YCL029C,3.399293133
YJL203W,3.400220042
YBR247C,3.405128978
YDR240C,3.405856061
YFR034C,3.409854951
YPR125W,3.410542095
YKL061W,3.412627543
YDR113C,3.415870122
YGR004W,3.420225701
YIR021W,3.42095471
YDR108W,3.422010332
YDL117W,3.426408718
YML108W,3.42643348
YBR213W,3.431519681
YER002W,3.43279193
YPR120C,3.43477736
YOR129C,3.435702132
YMR063W,3.44008341
YGR122W,3.440398939
YKR010C,3.44435714
YOL112W,3.444419078
YJL180C,3.44659219
YJL090C,3.448201996
YGR110W,3.450984032
YKL052C,3.453184045
YFR005C,3.4618687
YNL001W,3.463547431
YGR191W,3.464065173
YDL074C,3.464568983
YLR275W,3.464839783
YBR295W,3.465338955
YIL009W,3.467236649
YOR149C,3.468139129
YDL182W,3.471099045
YML023C,3.472366438
YNR020C,3.47332686
YLR401C,3.475730495
YLR099C,3.477195673
YJR110W,3.48068392
