Systematic Name,mRNA Isoform Number
YAL067C,1
YOR241W,1
YOR255W,1
YOR325W,1
YOR326W,1
YJL152W,1
YOR389W,1
YOR390W,1
YPL272C,1
YPL261C,1
YPL223C,1
YJL175W,1
YPL192C,1
YPL165C,1
YPL164C,1
YPL135C-A,1
YPL119C,1
YPL115C,1
YJL135W,1
YJL189W,1
YOR208W,1
YJL120W,1
YNL033W,1
YNL012W,1
YNR001W-A,1
YNR058W,1
YNR060W,1
YNR063W,1
YNR072W,1
YOL118C,1
YOL089C,1
YOL087C,1
YOL055C,1
YOL037C,1
YOR293C-A,1
YOR339C,1
YJL099W,1
YOL078W,1
YOR113W,1
YOR199W,1
YPL040C,1
YPL033C,1
YJL197W,1
YBL063W,1
YBL049W,1
YBR152W,1
YBR293W,1
YBR295W,1
YCL061C,1
YCR020C,1
YCR022C,1
YCR045C,1
YJR041C,1
YCL027W,1
YCL021W-A,1
YDL222C,1
YDL220C,1
YDL214C,1
YDL174C,1
YDL094C,1
YBL097W,1
YBR182C-A,1
YJR091C,1
YBR128C,1
YPL017C,1
YPR006C,1
YPR059C,1
YPR075C,1
YPR170C,1
YPR195C,1
YJR150C,1
YPL207W,1
YNL057W,1
YPL147W,1
YPL027W,1
YPR064W,1
YJR126C,1
YKL105C,1
YPR153W,1
YPR201W,1
YBL101C,1
YBR045C,1
YPL062W,1
YNL097W-A,1
YJL045W,1
YJL042W,1
YLR285C-A,1
YKL197C,1
YLR398C,1
YLR406C-A,1
YLR408C,1
YLR412C-A,1
YKL220C,1
YLR415C,1
YLR428C,1
YLR436C,1
YLR460C,1
YLL015W,1
YLR080W,1
YLR086W,1
YLR111W,1
YLR217W,1
YLR307W,1
YLR281C,1
YLR280C,1
YLR236C,1
YLR235C,1
YKR009C,1
YKR015C,1
YKL129C,1
YKL107W,1
YKL101W,1
YKL083W,1
YKL064W,1
YKL053W,1
YLR381W,1
YKR028W,1
YKL151C,1
YLL063C,1
YLL013C,1
YLR053C,1
YLR055C,1
YLR084C,1
YKL169C,1
YLR127C,1
YKR075W-A,1
YDL035C,1
YLR400W,1
YML101C-A,1
YJR018W,1
YNL254C,1
YNL240C,1
YNL230C,1
YNL205C,1
YNL204C,1
YNL203C,1
YNL144C,1
YNL130C-A,1
YNR069C,1
YNR071C,1
YNL273W,1
YNL269W,1
YNL228W,1
YNL170W,1
YNL127W,1
YNL109W,1
YJR020W,1
YNL329C,1
YMR304W,1
YMR147W,1
YML089C,1
YML037C,1
YMR052C-A,1
YMR053C,1
YMR076C,1
YMR086C-A,1
YMR117C,1
YMR122C,1
YLR403W,1
YJR095W,1
YMR253C,1
YMR259C,1
YJR074W,1
YMR316C-A,1
YML002W,1
YMR064W,1
YMR066W,1
YMR094W,1
YJR086W,1
YDL019C,1
YPR115W,1
YGL158W,1
YER060W,1
YDR010C,1
YHR182C-A,1
YER024W,1
YEL008W,1
YAL002W,1
YHR193C-A,1
