Systematic Name,mRNA Level_D1
YPR007C,-1.0
YEL041W,-1.0
YDR534C,-1.0
YMR320W,-1.0
YLR013W,-1.0
YMR290W-A,-1.0
YDR522C,-1.0
YBR240C,-1.0
YFL012W,-1.0
YMR122C,-1.0
YOL118C,-1.0
YER044C-A,-1.0
YGR087C,-1.0
YKL147C,0.0
YER091C-A,0.0
YKL162C-A,0.0
YER181C,0.0
YLR012C,0.0
YKL194C,0.0
YLL007C,0.0
YBR296C-A,0.0
YFL051C,0.0
YER084W,0.0
YER078W-A,0.0
YLR081W,0.0
YER076C,0.0
YER068C-A,0.0
YJR154W,0.0
YKL097C,0.0
YER096W,0.0
YLL059C,0.0
YER165C-A,0.0
YER145C-A,0.0
YBR294W,0.0
YER135C,0.0
YKL065W-A,0.0
YKL055C,0.0
YLL030C,0.0
YKL118W,0.0
YBR300C,0.0
YKR034W,0.0
YER066C-A,0.0
YKR041W,0.0
YCL076W,0.0
YCL065W,0.0
YKL050C,0.0
YBR134W,0.0
YEL021W,0.0
YLR184W,0.0
YLR377C,0.0
YLR406C-A,0.0
YLR411W,0.0
YLR412C-A,0.0
YLR423C,0.0
YLR428C,0.0
YLR445W,0.0
Q0297,0.0
Q0160,0.0
YLR461W,0.0
YGR059W,0.0
Q0032,0.0
YCL023C,0.0
YML057C-A,0.0
YML037C,0.0
YML031C-A,0.0
Q0144,0.0
YCL048W-A,0.0
YEL074W,0.0
YLR346C,0.0
YJR151W-A,0.0
YLR222C-A,0.0
YEL035C,0.0
YLR255C,0.0
YLR282C,0.0
YLR296W,0.0
YLR303W,0.0
YEL073C,0.0
YLR307W,0.0
YEL059W,0.0
YLR311C,0.0
YLR329W,0.0
YLR334C,0.0
YEL067C,0.0
YBR051W,0.0
YLR341W,0.0
YLR307C-A,0.0
YJR150C,0.0
YBR116C,0.0
YCL018W,0.0
YGR273C,0.0
YGR278W,0.0
YGR290W,0.0
YBR186W,0.0
YHL048W,0.0
YBR184W,0.0
YHL045W,0.0
YBR180W,0.0
YHL041W,0.0
YGL175C,0.0
YGL183C,0.0
YHL018W,0.0
YHL015W-A,0.0
YGL188C,0.0
YHR015W,0.0
YHR022C-A,0.0
YHR079C-A,0.0
YGR265W,0.0
YHR086W-A,0.0
YGL138C,0.0
YGL089C,0.0
YGR006W,0.0
YBR219C,0.0
YGL006W-A,0.0
YGL007W,0.0
YBR209W,0.0
YGR114C,0.0
YGL033W,0.0
YGR126W,0.0
YGL034C,0.0
YGR139W,0.0
YGL063W,0.0
YGR144W,0.0
YBR200W-A,0.0
YGR146C-A,0.0
