Translation Efficiency Low,Translation Efficiency High,Translation Efficiency Mid
YEL033W,YMR027W,YPR155C
YCR024C-B,YMR244C-A,YHR050W
YJR152W,YNL245C,YJR031C
YDL037C,YDL136W,YLR047C
YNR068C,YLR398C,YIL102C-A
YFL050C,YMR092C,YML005W
YPL056C,YDL140C,YGL246C
YER180C,YLR357W,YGL004C
YBR008C,YDL100C,YFR048W
YDL039C,YLR359W,YNL225C
YJL213W,YFL048C,YDL035C
YGL192W,YGL041W-A,YNL022C
YER039C,YKL073W,YNL182C
YNL204C,YBL018C,YDL203C
YOL029C,YNL302C,YGL095C
YBR298C,YLR136C,YPL074W
YOR084W,YPL119C,YAL026C
YER186C,YPR043W,YHL029C
YBR020W,YNL050C,YFL042C
YJR107W,YML058W-A,YOR377W
YER187W,YDR320C,YOR110W
YEL023C,YMR159C,YGR100W
YFL051C,YIL044C,YMR063W
YLR046C,YGR203W,YDR416W
YOR034C-A,YLR199C,YGL216W
Q0255,YBL069W,YLR361C
YOL104C,YNL154C,YNL039W
YLL053C,YPL032C,YML076C
YJL108C,YML127W,YDR047W
YCR095W-A,YOR042W,YGR046W
YBR063C,YML069W,YLR135W
YFL041W-A,YOL039W,YER078C
YIR016W,YGL065C,YPR081C
YJL106W,YJL055W,YPL112C
YGL262W,YCR076C,YNL195C
YHR175W-A,YNL166C,YBL089W
YHR033W,YBR010W,YBR105C
YCR014C,YJL212C,YOR118W
YDR438W,YOL120C,YDR520C
YFL031W,YEL058W,YDR503C
YDL239C,YJL186W,YOR127W
YMR085W,YOR372C,YPL162C
YPR121W,YKL165C,YMR194C-B
YGR154C,YGR284C,YCR048W
YBL044W,YNL281W,YDR282C
YJL216C,YCL055W,YIL111W
YLR263W,YKR029C,YNL218W
YBR196C-A,YAR002C-A,YHR118C
YIL029C,YGL195W,YPR176C
YCR100C,YHR154W,YMR277W
YIL165C,YHR170W,YHR009C
YKR050W,YKL001C,YHL020C
YOR180C,YKL034W,YHR172W
YMR018W,YBR138C,YGR117C
YIR031C,YGL084C,YBR204C
YFR026C,YKL021C,YPR185W
YOL015W,YNL158W,YKL023C-A
YBL075C,YAL007C,YBL055C
YPR054W,YIL064W,YDR369C
