Systematic Name,Molecular Weight
YJR151W-A,1978.4
YDL247W-A,2929.3
YOR302W,2978.3
YNL144W-A,3049.5
YOR161W-A,3064.7
YPR160W-A,3071.9
YHR073C-B,3072.6
YJL077W-A,3078.8
YMR182W-A,3093.9
YMR242W-A,3101.6
YBR191W-A,3113.9
YJL136W-A,3144.9
YGR068W-A,3155.7
YGL007C-A,3169.8
YMR013W-A,3192.9
YHL015W-A,3205.0
YOR335W-A,3324.9
YAR035C-A,3327.0
YLR149C-A,3328.0
YKL145W-A,3344.2
YNL103W-A,3352.0
YDL133C-A,3354.4
YDL184C,3354.4
YNR075C-A,3372.3
YFR012W-A,3384.1
YGR174W-A,3395.0
YBL039C-A,3404.2
YKL100W-A,3410.1
YNR003W-A,3415.0
YER090C-A,3425.0
YAL037C-A,3449.3
YEL008C-A,3451.1
YCL054W-A,3474.3
YHR022C-A,3509.2
YLR299C-A,3523.0
YDR524W-C,3538.3
YLL019W-A,3543.2
YBR141W-A,3564.3
YPR159C-A,3584.5
YOL038C-A,3629.5
YLR399W-A,3658.6
YBR131C-A,3681.3
YDR371C-A,3690.6
YFL031C-A,3769.6
YOR008W-B,3817.4
YPL152W-A,3839.6
YBL071C-B,3855.7
YHR180C-B,3920.9
YDR461W,3927.6
YBR196C-B,3929.9
YLR163W-A,3945.8
YER138W-A,3955.8
YDL232W,3982.7
YLR120W-A,3989.8
YJL077W-B,4020.0
YJL127W-A,4053.8
YBL107W-A,4055.0
YMR315W-A,4060.1
YDL025W-A,4069.9
YBR221W-A,4090.9
YMR272W-B,4110.0
YLR466C-B,4190.9
YGL006W-A,4213.1
YNL145W,4229.9
YKL156C-A,4233.9
YMR272W-A,4260.2
YOR314W-A,4315.3
YDL114W-A,4317.0
YBR223W-A,4385.3
YHR032C-A,4397.7
YML007C-A,4415.6
YDR510C-A,4419.3
YDR118W-A,4458.5
YER053C-A,4459.2
YCR024C-A,4505.7
YBR296C-A,4519.4
YBL108C-A,4526.3
YLR264C-A,4527.5
YGR204C-A,4541.4
YJL052C-A,4556.5
YNL097C-B,4626.3
YGR122C-A,4633.3
YBL100W-C,4647.5
YDR524C-A,4660.8
YKL106C-A,4682.7
YLR364C-A,4683.6
YLR157C-C,4710.5
YLR159C-A,4710.5
YLR154C-H,4710.5
YLR156C-A,4710.5
YMR046W-A,4725.3
YLR347W-A,4736.5
YCR038W-A,4831.0
YDR003W-A,4845.6
YEL017C-A,4853.1
YLR286W-A,4943.8
YJL047C-A,5049.0
YDR354C-A,5086.1
YDL159W-A,5091.1
YHL048C-A,5101.2
YLR154W-F,5110.0
YMR247W-A,5155.3
YBR126W-B,5177.3
YOL155W-A,5208.2
YER088W-B,5212.0
YIR018C-A,5225.3
YMR158C-A,5277.1
YGL188C-A,5305.1
YNL067W-B,5319.2
YDR320W-B,5340.0
YGL063C-A,5350.4
YJL222W-B,5419.4
YOR161C-C,5429.4
YMR251W-A,5576.5
YDR169C-A,5597.8
YBR103C-A,5609.7
YNL130C-A,5616.8
YOL083C-A,5635.7
YDL240C-A,5643.6
YBL006W-A,5646.6
YAR020C,5672.5
YMR013C-A,5708.1
YHR175W-A,5709.7
YOL019W-A,5710.7
YBR056C-B,5742.7
YJR140W-A,5766.6
YLR406C-A,5816.1
Q0080,5825.3
