Systematic Name,Standard Name,Sgd Alias,Description,gene_link
Q0010, ,ORF6,"Dubious open reading frame; unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the dubious ORF Q0017",<a href='https://www.yeastgenome.org/locus/Q0010' target='_blank'>Q0010</a>
Q0017, ,ORF7,"Dubious open reading frame; unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the dubious ORF Q0010",<a href='https://www.yeastgenome.org/locus/Q0017' target='_blank'>Q0017</a>
Q0032, ,ORF8,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",<a href='https://www.yeastgenome.org/locus/Q0032' target='_blank'>Q0032</a>
Q0045,COX1,cytochrome c oxidase subunit 1|OXI3,"Subunit I of cytochrome c oxidase (Complex IV); Complex IV is the terminal member of the mitochondrial inner membrane electron transport chain; one of three mitochondrially-encoded subunits; number of introns in different strains varies from 2 to 8, with most strains having 4-6 introns",<a href='https://www.yeastgenome.org/locus/Q0045' target='_blank'>Q0045</a>
Q0050,AI1,intron-encoded reverse transcriptase aI1,Reverse transcriptase required for splicing of the COX1 pre-mRNA; encoded by a mobile group II intron within the mitochondrial COX1 gene,<a href='https://www.yeastgenome.org/locus/Q0050' target='_blank'>Q0050</a>
Q0055,AI2,intron-encoded reverse transcriptase aI2,Reverse transcriptase required for splicing of the COX1 pre-mRNA; encoded by a mobile group II intron within the mitochondrial COX1 gene,<a href='https://www.yeastgenome.org/locus/Q0055' target='_blank'>Q0055</a>
Q0060,AI3,intron-encoded DNA endonuclease aI3|I-SceIII,Endonuclease I-SceIII; encoded by a mobile group I intron within the mitochondrial COX1 gene,<a href='https://www.yeastgenome.org/locus/Q0060' target='_blank'>Q0060</a>
Q0065,AI4,intron-encoded DNA endonuclease aI4|I-SceII,Endonuclease I-SceII; encoded by a mobile group I intron within the mitochondrial COX1 gene; intron is normally spliced by the BI4p maturase but AI4p can mutate to acquire the same maturase activity,<a href='https://www.yeastgenome.org/locus/Q0065' target='_blank'>Q0065</a>
Q0070,AI5_ALPHA,intron-encoded DNA endonuclease aI5 alpha,Endonuclease I-SceIV; involved in intron mobility; encoded by a mobile group I intron within the mitochondrial COX1 gene,<a href='https://www.yeastgenome.org/locus/Q0070' target='_blank'>Q0070</a>
Q0075,AI5_BETA,intron-encoded DNA endonuclease aI5 beta,Protein of unknown function; encoded within an intron of the mitochondrial COX1 gene; translational initiation codon is predicted to be ATA rather than ATG,<a href='https://www.yeastgenome.org/locus/Q0075' target='_blank'>Q0075</a>
Q0080,ATP8,AAP1|F1F0 ATP synthase subunit 8,Subunit 8 of the F0 sector of mitochondrial F1F0 ATP synthase; encoded on the mitochondrial genome; ATP8 and ATP6 mRNAs are not translated in the absence of the F1 sector of ATPase,<a href='https://www.yeastgenome.org/locus/Q0080' target='_blank'>Q0080</a>
Q0085,ATP6,F1F0 ATP synthase subunit a|OLI2|OLI4|PHO1,"Subunit a of the F0 sector of mitochondrial F1F0 ATP synthase; mitochondrially encoded; translation is specifically activated by Atp22p; ATP6 and ATP8 mRNAs are not translated in the absence of the F1 sector of ATPase; mutations in human ortholog MT-ATP6 are associated with neurodegenerative disorders such as Neurogenic Ataxia and Retinitis Pigmentosa (NARP), Leigh syndrome (LS), Charcot-Marie-Tooth (CMT), and ataxia telangiectasia",<a href='https://www.yeastgenome.org/locus/Q0085' target='_blank'>Q0085</a>
Q0092, ,ORF5,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",<a href='https://www.yeastgenome.org/locus/Q0092' target='_blank'>Q0092</a>
Q0105,COB,COB1|CYTB|cytochrome b,"Cytochrome b; mitochondrially-encoded subunit of ubiquinol-cytochrome c reductase complex which includes Cobp, Rip1p, Cyt1p, Cor1p, Qcr2p, Qcr6p, Qcr7p, Qcr8p, Qcr9p, and Qcr10p; number of introns varies between strains from 0 to 6, with most having 5",<a href='https://www.yeastgenome.org/locus/Q0105' target='_blank'>Q0105</a>
Q0110,BI2,cytochrome b mRNA maturase bI2,Mitochondrial mRNA maturase with a role in splicing; encoded by both exon and intron sequences of partially processed COB mRNA,<a href='https://www.yeastgenome.org/locus/Q0110' target='_blank'>Q0110</a>
Q0115,BI3,cytochrome b mRNA maturase bI3,Mitochondrial mRNA maturase; forms a complex with Mrs1p to mediate splicing of the bI3 intron of the COB gene; encoded by both exon and intron sequences of partially processed COB mRNA,<a href='https://www.yeastgenome.org/locus/Q0115' target='_blank'>Q0115</a>
Q0120,BI4,intron-encoded RNA maturase bI4,Mitochondrial mRNA maturase; forms a complex with Nam2p to mediate splicing of the bI4 intron of the COB gene; encoded by both exon and intron sequences of partially processed COB mRNA,<a href='https://www.yeastgenome.org/locus/Q0120' target='_blank'>Q0120</a>
Q0130,OLI1,ATP9|F0 ATP synthase subunit c|OLI3,F0-ATP synthase subunit c (ATPase-associated proteolipid); encoded on the mitochondrial genome; mutation confers oligomycin resistance; expression is specifically dependent on the nuclear genes AEP1 and AEP2,<a href='https://www.yeastgenome.org/locus/Q0130' target='_blank'>Q0130</a>
Q0140,VAR1,mitochondrial 37S ribosomal protein VAR1|uS3m|VARI,Mitochondrial ribosomal protein of the small subunit; mitochondrially-encoded; polymorphic in different strains due to variation in number of AAT (asparagine) codons; translated near the mitochondrial inner membrane; may have a role in loss of mitochondrial DNA under stress conditions,<a href='https://www.yeastgenome.org/locus/Q0140' target='_blank'>Q0140</a>
Q0142, ,ORF9,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps dubious open reading frame Q0143",<a href='https://www.yeastgenome.org/locus/Q0142' target='_blank'>Q0142</a>
Q0143, ,ORF10,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",<a href='https://www.yeastgenome.org/locus/Q0143' target='_blank'>Q0143</a>
Q0144, , ,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",<a href='https://www.yeastgenome.org/locus/Q0144' target='_blank'>Q0144</a>
Q0160,SCEI,intron-encoded endonuclease I-SceI|I-SceIV|OMEGA,I-SceI DNA endonuclease; encoded by the mitochondrial group I intron of the 21S_rRNA gene; mediates gene conversion that propagates the intron into intron-less copies of the 21S_rRNA gene,<a href='https://www.yeastgenome.org/locus/Q0160' target='_blank'>Q0160</a>
Q0182, ,ORF11,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",<a href='https://www.yeastgenome.org/locus/Q0182' target='_blank'>Q0182</a>
