Systematic Name,Standard Name,protein_domain,Domain Description,Start Coordinate,End Coordinate,term_link,gene_link
YAL068W-A, ,PF04318,Protein of unknown function (DUF468); Protein of unknown function DUF468,1,84,<a href='https://pfam.xfam.org/family/PF04318' target='_blank'>PF04318</a>,<a href='https://www.yeastgenome.org/locus/YAL068W-A/protein' target='_blank'>YAL068W-A</a>
YAL068C,PAU8,PF00660,Seripauperin and TIP1 family; Stress-induced protein SRP1/TIP1,22,114,<a href='https://pfam.xfam.org/family/PF00660' target='_blank'>PF00660</a>,<a href='https://www.yeastgenome.org/locus/YAL068C/protein' target='_blank'>YAL068C</a>
YAL067C,SEO1,PF07690,Major Facilitator Superfamily; Major facilitator superfamily,144,503,<a href='https://pfam.xfam.org/family/PF07690' target='_blank'>PF07690</a>,<a href='https://www.yeastgenome.org/locus/YAL067C/protein' target='_blank'>YAL067C</a>
YAL064C-A,TDA8,PF07691,PA14 domain; PA14 domain,1,108,<a href='https://pfam.xfam.org/family/PF07691' target='_blank'>PF07691</a>,<a href='https://www.yeastgenome.org/locus/YAL064C-A/protein' target='_blank'>YAL064C-A</a>
YAL063C,FLO9,PF13928,Flocculin type 3 repeat; Flocculin type 3 repeat,1143,1184,<a href='https://pfam.xfam.org/family/PF13928' target='_blank'>PF13928</a>,<a href='https://www.yeastgenome.org/locus/YAL063C/protein' target='_blank'>YAL063C</a>
YAL063C,FLO9,PF07691,PA14 domain; PA14 domain,113,248,<a href='https://pfam.xfam.org/family/PF07691' target='_blank'>PF07691</a>,<a href='https://www.yeastgenome.org/locus/YAL063C/protein' target='_blank'>YAL063C</a>
YAL063C,FLO9,PF00624,Flocculin repeat; Flocculin,276,315,<a href='https://pfam.xfam.org/family/PF00624' target='_blank'>PF00624</a>,<a href='https://www.yeastgenome.org/locus/YAL063C/protein' target='_blank'>YAL063C</a>
YAL063C,FLO9,PF00624,Flocculin repeat; Flocculin,322,360,<a href='https://pfam.xfam.org/family/PF00624' target='_blank'>PF00624</a>,<a href='https://www.yeastgenome.org/locus/YAL063C/protein' target='_blank'>YAL063C</a>
YAL063C,FLO9,PF00624,Flocculin repeat; Flocculin,367,405,<a href='https://pfam.xfam.org/family/PF00624' target='_blank'>PF00624</a>,<a href='https://www.yeastgenome.org/locus/YAL063C/protein' target='_blank'>YAL063C</a>
YAL063C,FLO9,PF00624,Flocculin repeat; Flocculin,413,450,<a href='https://pfam.xfam.org/family/PF00624' target='_blank'>PF00624</a>,<a href='https://www.yeastgenome.org/locus/YAL063C/protein' target='_blank'>YAL063C</a>
YAL063C,FLO9,PF00624,Flocculin repeat; Flocculin,458,495,<a href='https://pfam.xfam.org/family/PF00624' target='_blank'>PF00624</a>,<a href='https://www.yeastgenome.org/locus/YAL063C/protein' target='_blank'>YAL063C</a>
YAL063C,FLO9,PF00624,Flocculin repeat; Flocculin,503,540,<a href='https://pfam.xfam.org/family/PF00624' target='_blank'>PF00624</a>,<a href='https://www.yeastgenome.org/locus/YAL063C/protein' target='_blank'>YAL063C</a>
YAL063C,FLO9,PF00624,Flocculin repeat; Flocculin,548,585,<a href='https://pfam.xfam.org/family/PF00624' target='_blank'>PF00624</a>,<a href='https://www.yeastgenome.org/locus/YAL063C/protein' target='_blank'>YAL063C</a>
YAL063C,FLO9,PF00624,Flocculin repeat; Flocculin,592,630,<a href='https://pfam.xfam.org/family/PF00624' target='_blank'>PF00624</a>,<a href='https://www.yeastgenome.org/locus/YAL063C/protein' target='_blank'>YAL063C</a>
YAL063C,FLO9,PF00624,Flocculin repeat; Flocculin,637,675,<a href='https://pfam.xfam.org/family/PF00624' target='_blank'>PF00624</a>,<a href='https://www.yeastgenome.org/locus/YAL063C/protein' target='_blank'>YAL063C</a>
YAL063C,FLO9,PF00624,Flocculin repeat; Flocculin,683,720,<a href='https://pfam.xfam.org/family/PF00624' target='_blank'>PF00624</a>,<a href='https://www.yeastgenome.org/locus/YAL063C/protein' target='_blank'>YAL063C</a>
YAL063C,FLO9,PF00624,Flocculin repeat; Flocculin,728,765,<a href='https://pfam.xfam.org/family/PF00624' target='_blank'>PF00624</a>,<a href='https://www.yeastgenome.org/locus/YAL063C/protein' target='_blank'>YAL063C</a>
YAL063C,FLO9,PF00624,Flocculin repeat; Flocculin,772,810,<a href='https://pfam.xfam.org/family/PF00624' target='_blank'>PF00624</a>,<a href='https://www.yeastgenome.org/locus/YAL063C/protein' target='_blank'>YAL063C</a>
YAL063C,FLO9,PF00624,Flocculin repeat; Flocculin,817,855,<a href='https://pfam.xfam.org/family/PF00624' target='_blank'>PF00624</a>,<a href='https://www.yeastgenome.org/locus/YAL063C/protein' target='_blank'>YAL063C</a>
YAL063C,FLO9,PF13928,Flocculin type 3 repeat; Flocculin type 3 repeat,1020,1063,<a href='https://pfam.xfam.org/family/PF13928' target='_blank'>PF13928</a>,<a href='https://www.yeastgenome.org/locus/YAL063C/protein' target='_blank'>YAL063C</a>
