Name/Alias,Systematic Name
"(R,R)-butanediol dehydrogenase",['YAL060W']
"1,3-beta-D-glucan synthase",['YLR342W']
"1,3-beta-glucan synthase GSC2",['YGR032W']
"1,3-beta-glucanosyltransferase GAS1",['YMR307W']
"1,4-alpha-glucan branching enzyme",['YEL011W']
1-(5-phosphoribosyl)-5- ((5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase HIS6,['YIL020C']
1-acylglycerol-3-phosphate O-acyltransferase SLC1,['YDL052C']
1-phosphatidylinositol 4-kinase,['YNL267W']
1-phosphatidylinositol 4-kinase LSB6,['YJL100W']
1-phosphatidylinositol 4-kinase STT4,['YLR305C']
1-phosphatidylinositol-3-phosphate 5-kinase,['YFR019W']
1-phosphatidylinositol-4-phosphate 5-kinase,['YDR208W']
1-pyrroline-5-carboxylate dehydrogenase,['YHR037W']
14-3-3 family protein BMH1,['YER177W']
14-3-3 family protein BMH2,['YDR099W']
17-beta-hydroxysteroid dehydrogenase-like protein,['YBR056W']
18S rRNA (guanine1575-N7)-methyltransferase,['YCR047C']
18S rRNA pseudouridine methyltransferase,['YLR186W']
"2',3'-cyclic-nucleotide 3'-phosphodiesterase",['YGR247W']
"2,4-dienoyl-CoA reductase (NADPH)",['YNL202W']
"2,5-diamino-6-(ribosylamino)-4(3H)-pyrimidinone 5'-phosphate reductase",['YBR153W']
2-aminoadipate transaminase,['YER152C']
2-dehydropantoate 2-reductase PAN5,['YHR063C']
"2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase",['YML110C']
2-isopropylmalate synthase LEU4,['YNL104C']
2-isopropylmalate synthase LEU9,['YOR108W']
21S rRNA (uridine2791-2'-O) methyltransferase,['YGL136C']
25S rRNA (adenine2142-N1)-methyltransferase,['YBR141C']
25S rRNA (adenine645-N1)-methyltransferase,['YDR083W']
25S rRNA (uracil2634-N3)-methyltransferase,['YIL096C']
25S rRNA (uracil2843-N3)-methyltransferase,['YLR063W']
27S pre-rRNA (guanosine2922-2'-O)-methyltransferase,['YCL054W']
"3'(2'),5'-bisphosphate nucleotidase",['YOL064C']
"3',5'-cyclic-nucleotide phosphodiesterase PDE1",['YGL248W']
"3',5'-cyclic-nucleotide phosphodiesterase PDE2",['YOR360C']
3'-5' DNA helicase,['YIR002C']
3'-5' poly(A) RNA exonuclease,['YML118W']
3'-5'-exodeoxyribonuclease,['YBL055C']
"3,4-dihydroxy-2-butanone-4-phosphate synthase RIB3",['YDR487C']
3-dehydrosphinganine reductase,['YBR265W']
3-deoxy-7-phosphoheptulonate synthase ARO3,['YDR035W']
3-deoxy-7-phosphoheptulonate synthase ARO4,['YBR249C']
"3-hydroxyanthranilate 3,4-dioxygenase",['YJR025C']
3-hydroxyisobutyryl-CoA hydrolase,['YDR036C']
3-isopropylmalate dehydratase LEU1,['YGL009C']
3-isopropylmalate dehydrogenase,['YCL018W']
3-keto-steroid reductase,['YLR100W']
3-methyl-2-oxobutanoate hydroxymethyltransferase,['YBR176W']
3-oxoacyl-[acyl-carrier-protein] reductase (NADPH),['YKL055C']
4-amino-4-deoxychorismate synthase,['YNR033W']
4-aminobutyrate transaminase,['YGR019W']
4-hydroxybenzoate octaprenyltransferase,['YNR041C']
4-nitrophenylphosphatase,['YDL236W']
4a-hydroxytetrahydrobiopterin dehydratase,['YHL018W']
5-aminolevulinate synthase,['YDR232W']
5-formyltetrahydrofolate cyclo-ligase,['YER183C']
5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase,['YER091C']
5-oxoprolinase,['YKL215C']
6-phosphofructokinase subunit alpha,['YGR240C']
6-phosphofructokinase subunit beta,['YMR205C']
6-phosphogluconolactonase SOL3,['YHR163W']
6-phosphogluconolactonase SOL4,['YGR248W']
8-oxo-dGTP diphosphatase,['YLR151C']
8-oxoguanine glycosylase OGG1,['YML060W']
A0,['YLR340W']
A12.2,['YJR063W']
A135,['YPR010C']
A14,['YDR156W']
A190,['YOR341W']
A2,['YCR096C']
A34.5,['YJL148W']
A43,['YOR340C']
A49,['YNL248C']
AAA family ATPase AFG2,['YLR397C']
AAA family ATPase AFG3,['YER017C']
AAA family ATPase CDC48,['YDL126C']
AAA family ATPase CDC6,['YJL194W']
AAA family ATPase SEC18,['YBR080C']
AAA family ATPase VPS4,['YPR173C']
AAA family ATPase midasin,['YLR106C']
AAA family ATPase peroxin 1,['YKL197C']
AAA family ATPase peroxin 6,['YNL329C']
AAA1,['YDL040C']
AAC1,['YMR056C']
AAC2,['YBL030C']
AAC3,['YBR085W']
AAD10,['YJR155W']
AAD14,['YNL331C']
AAD15,['YOL165C']
AAD3,['YCR107W']
AAD4,['YDL243C']
